name,funding,words,imgs,gifs,vids,stretch goals,backers,campaign dur,twitter followers,platforms,developers,prev campaigns,state,steam,handdrawn,pixel,,,,
Outbuddies,1.31,1926,8,4,3,0,235,29,2287,1,3,0,1,1,1,1,,,,
Levantera Tale of the Winds,0.24,2065,19,11,3,6,165,30,660,1,8,0,0,1,1,1,,,,
Return to Earth,0.51,575,15,10,2,0,82,30,257,1,2,0,0,0,1,1,,,,
Ambrosia,0.5,3135,9,1,1,0,303,35,669,3,2,0,0,1,1,1,,,,
Concutio Historia,0.01,510,1,0,0,0,2,60,0,1,2,0,0,0,1,1,,,,
The Deep End,0.12,535,11,9,1,0,42,30,0,1,1,0,0,0,1,1,,,,
Gigasword,1.01,3046,40,23,1,0,893,30,1843,1,1,0,1,1,1,1,,,,
Dark Flame,0.11,2243,10,2,2,15,272,30,4881,1,8,0,0,0,1,1,,,,
Hyper Fox,0.03,301,10,0,0,0,3,30,0,1,1,0,0,0,1,0,,,,
Kryptoids,0.11,1411,17,1,1,0,23,25,0,1,1,0,0,0,1,1,,,,
Slaughter Sacrifice II,0.07,238,0,0,5,0,6,30,0,1,1,0,0,0,1,1,,,,
Lore Finder,1.98,2141,18,11,2,6,1088,30,3115,3,6,0,1,1,1,1,,,,
Dungeon Gambit Boy,0.11,1708,6,1,1,7,19,30,0,1,1,2,0,1,1,1,,,,
The Seashore for Nintendo Switch,1.6,1575,13,2,2,7,276,60,0,2,4,1,1,0,1,1,,,,
Aeternum Vale,1.12,1720,13,8,1,6,135,30,2482,2,1,0,1,1,1,1,,,,
Super Space Prison 99,0.2,1248,1,0,0,0,9,60,0,1,1,0,0,0,0,0,,,,
Mawthorne,4.06,831,5,3,1,3,278,30,262,1,3,1,1,0,1,1,,,,
Onryo,0.03,213,4,0,5,0,12,30,0,1,1,2,0,0,1,1,,,,
Mark of the Old Ones,0.13,2927,8,0,2,0,253,30,87,1,8,0,0,1,0,0,,,,
