funding,words,images,gifs,videos,stretch goals,backers,campaign dur,twitter followers,platforms,developers,prev campaigns,steam,handdrawn,pixel
3.6,1429.0,12.0,1.0,3.0,4.0,3014.0,30.0,4915.0,3.0,1.0,0.0,1.0,0.0,1.0
0.06,199.0,9.0,3.0,1.0,0.0,5.0,30.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
0.0,413.0,0.0,0.0,1.0,0.0,1.0,30.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0
0.62,3289.0,19.0,6.0,1.0,2.0,343.0,30.0,1729.0,4.0,4.0,0.0,1.0,1.0,0.0
0.06,1506.0,13.0,4.0,2.0,10.0,30.0,30.0,27.0,2.0,4.0,0.0,0.0,1.0,1.0
0.21,1067.0,9.0,8.0,1.0,7.0,330.0,30.0,1539.0,5.0,3.0,0.0,0.0,1.0,1.0
1.17,1031.0,15.0,6.0,1.0,8.0,535.0,30.0,1655.0,3.0,3.0,0.0,1.0,1.0,1.0
1.03,2283.0,15.0,7.0,3.0,4.0,686.0,31.0,790.0,4.0,4.0,0.0,0.0,0.0,0.0
1.18,796.0,14.0,14.0,1.0,0.0,386.0,30.0,2585.0,1.0,2.0,2.0,1.0,1.0,1.0
3.21,1808.0,20.0,7.0,4.0,0.0,360.0,33.0,2925.0,5.0,9.0,1.0,1.0,1.0,1.0
3.53,2304.0,8.0,6.0,1.0,7.0,5751.0,30.0,6055.0,3.0,4.0,0.0,1.0,1.0,1.0
1.31,1926.0,8.0,4.0,3.0,0.0,235.0,29.0,2287.0,1.0,3.0,0.0,1.0,1.0,1.0
0.24,2065.0,19.0,11.0,3.0,6.0,165.0,30.0,660.0,1.0,8.0,0.0,1.0,1.0,1.0
0.51,575.0,15.0,10.0,2.0,0.0,82.0,30.0,257.0,1.0,2.0,0.0,0.0,1.0,1.0
0.5,3135.0,9.0,1.0,1.0,0.0,303.0,35.0,669.0,3.0,2.0,0.0,1.0,1.0,1.0
0.01,510.0,1.0,0.0,0.0,0.0,2.0,60.0,0.0,1.0,2.0,0.0,0.0,1.0,1.0
0.12,535.0,11.0,9.0,1.0,0.0,42.0,30.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
1.01,3046.0,40.0,23.0,1.0,0.0,893.0,30.0,1843.0,1.0,1.0,0.0,1.0,1.0,1.0
0.11,2243.0,10.0,2.0,2.0,15.0,272.0,30.0,4881.0,1.0,8.0,0.0,0.0,1.0,1.0
0.03,301.0,10.0,0.0,0.0,0.0,3.0,30.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
0.11,1411.0,17.0,1.0,1.0,0.0,23.0,25.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
0.07,238.0,0.0,0.0,5.0,0.0,6.0,30.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
1.98,2141.0,18.0,11.0,2.0,6.0,1088.0,30.0,3115.0,3.0,6.0,0.0,1.0,1.0,1.0
0.11,1708.0,6.0,1.0,1.0,7.0,19.0,30.0,0.0,1.0,1.0,2.0,1.0,1.0,1.0
1.6,1575.0,13.0,2.0,2.0,7.0,276.0,60.0,0.0,2.0,4.0,1.0,0.0,1.0,1.0
1.12,1720.0,13.0,8.0,1.0,6.0,135.0,30.0,2482.0,2.0,1.0,0.0,1.0,1.0,1.0
0.2,1248.0,1.0,0.0,0.0,0.0,9.0,60.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
4.06,831.0,5.0,3.0,1.0,3.0,278.0,30.0,262.0,1.0,3.0,1.0,0.0,1.0,1.0
0.03,213.0,4.0,0.0,5.0,0.0,12.0,30.0,0.0,1.0,1.0,2.0,0.0,1.0,1.0
0.13,2927.0,8.0,0.0,2.0,0.0,253.0,30.0,87.0,1.0,8.0,0.0,1.0,0.0,0.0
